date_key,full_date,year,quarter,month,month_name,year_month,day_of_month,day_of_week,day_name,week_of_year,is_weekend,is_business_night,same_day_last_year
20250201,2025-02-01,2025,1,2,February,2025-02,1,6,Saturday,5,True,False,2024-02-03
20250202,2025-02-02,2025,1,2,February,2025-02,2,7,Sunday,5,True,False,2024-02-04
20250203,2025-02-03,2025,1,2,February,2025-02,3,1,Monday,6,False,True,2024-02-05
20250204,2025-02-04,2025,1,2,February,2025-02,4,2,Tuesday,6,False,True,2024-02-06
20250205,2025-02-05,2025,1,2,February,2025-02,5,3,Wednesday,6,False,True,2024-02-07
20250206,2025-02-06,2025,1,2,February,2025-02,6,4,Thursday,6,False,True,2024-02-08
20250207,2025-02-07,2025,1,2,February,2025-02,7,5,Friday,6,False,False,2024-02-09
20250208,2025-02-08,2025,1,2,February,2025-02,8,6,Saturday,6,True,False,2024-02-10
20250209,2025-02-09,2025,1,2,February,2025-02,9,7,Sunday,6,True,False,2024-02-11
20250210,2025-02-10,2025,1,2,February,2025-02,10,1,Monday,7,False,True,2024-02-12
20250211,2025-02-11,2025,1,2,February,2025-02,11,2,Tuesday,7,False,True,2024-02-13
20250212,2025-02-12,2025,1,2,February,2025-02,12,3,Wednesday,7,False,True,2024-02-14
20250213,2025-02-13,2025,1,2,February,2025-02,13,4,Thursday,7,False,True,2024-02-15
20250214,2025-02-14,2025,1,2,February,2025-02,14,5,Friday,7,False,False,2024-02-16
20250215,2025-02-15,2025,1,2,February,2025-02,15,6,Saturday,7,True,False,2024-02-17
20250216,2025-02-16,2025,1,2,February,2025-02,16,7,Sunday,7,True,False,2024-02-18
20250217,2025-02-17,2025,1,2,February,2025-02,17,1,Monday,8,False,True,2024-02-19
20250218,2025-02-18,2025,1,2,February,2025-02,18,2,Tuesday,8,False,True,2024-02-20
20250219,2025-02-19,2025,1,2,February,2025-02,19,3,Wednesday,8,False,True,2024-02-21
20250220,2025-02-20,2025,1,2,February,2025-02,20,4,Thursday,8,False,True,2024-02-22
20250221,2025-02-21,2025,1,2,February,2025-02,21,5,Friday,8,False,False,2024-02-23
20250222,2025-02-22,2025,1,2,February,2025-02,22,6,Saturday,8,True,False,2024-02-24
20250223,2025-02-23,2025,1,2,February,2025-02,23,7,Sunday,8,True,False,2024-02-25
20250224,2025-02-24,2025,1,2,February,2025-02,24,1,Monday,9,False,True,2024-02-26
20250225,2025-02-25,2025,1,2,February,2025-02,25,2,Tuesday,9,False,True,2024-02-27
20250226,2025-02-26,2025,1,2,February,2025-02,26,3,Wednesday,9,False,True,2024-02-28
20250227,2025-02-27,2025,1,2,February,2025-02,27,4,Thursday,9,False,True,2024-02-29
20250228,2025-02-28,2025,1,2,February,2025-02,28,5,Friday,9,False,False,2024-03-01
20250301,2025-03-01,2025,1,3,March,2025-03,1,6,Saturday,9,True,False,2024-03-02
20250302,2025-03-02,2025,1,3,March,2025-03,2,7,Sunday,9,True,False,2024-03-03
20250303,2025-03-03,2025,1,3,March,2025-03,3,1,Monday,10,False,True,2024-03-04
20250304,2025-03-04,2025,1,3,March,2025-03,4,2,Tuesday,10,False,True,2024-03-05
20250305,2025-03-05,2025,1,3,March,2025-03,5,3,Wednesday,10,False,True,2024-03-06
20250306,2025-03-06,2025,1,3,March,2025-03,6,4,Thursday,10,False,True,2024-03-07
20250307,2025-03-07,2025,1,3,March,2025-03,7,5,Friday,10,False,False,2024-03-08
20250308,2025-03-08,2025,1,3,March,2025-03,8,6,Saturday,10,True,False,2024-03-09
20250309,2025-03-09,2025,1,3,March,2025-03,9,7,Sunday,10,True,False,2024-03-10
20250310,2025-03-10,2025,1,3,March,2025-03,10,1,Monday,11,False,True,2024-03-11
20250311,2025-03-11,2025,1,3,March,2025-03,11,2,Tuesday,11,False,True,2024-03-12
20250312,2025-03-12,2025,1,3,March,2025-03,12,3,Wednesday,11,False,True,2024-03-13
20250313,2025-03-13,2025,1,3,March,2025-03,13,4,Thursday,11,False,True,2024-03-14
20250314,2025-03-14,2025,1,3,March,2025-03,14,5,Friday,11,False,False,2024-03-15
20250315,2025-03-15,2025,1,3,March,2025-03,15,6,Saturday,11,True,False,2024-03-16
20250316,2025-03-16,2025,1,3,March,2025-03,16,7,Sunday,11,True,False,2024-03-17
20250317,2025-03-17,2025,1,3,March,2025-03,17,1,Monday,12,False,True,2024-03-18
