guest_key,guest_id,home_city,guest_segment,has_phone,has_email
1,G000001,Indore,unknown,True,True
2,G000002,Nagpur,corporate,True,True
3,G000003,Coimbatore,leisure,True,True
4,G000004,Kochi,corporate,True,True
5,G000005,Raipur,leisure,True,True
6,G000006,Jaipur,leisure,True,True
7,G000007,Ahmedabad,leisure,True,True
8,G000008,Indore,corporate,True,True
9,G000009,Delhi,leisure,True,True
10,G000010,Nagpur,unknown,True,True
11,G000011,Kochi,corporate,True,True
12,G000012,Lucknow,relocation,True,True
13,G000013,Delhi,corporate,True,True
14,G000014,Kochi,corporate,True,True
15,G000015,Chennai,leisure,True,True
16,G000016,Pune,unknown,False,True
17,G000017,Kochi,corporate,True,False
18,G000018,Kolkata,corporate,True,True
19,G000019,Delhi,leisure,True,True
20,G000020,Coimbatore,relocation,True,True
21,G000021,Kolkata,corporate,True,True
22,G000022,Lucknow,corporate,True,True
23,G000023,Kolkata,relocation,True,True
24,G000024,Pune,corporate,True,True
25,G000025,Mumbai,unknown,True,True
26,G000026,Lucknow,corporate,True,True
27,G000027,Indore,leisure,True,True
28,G000028,Pune,corporate,True,True
29,G000029,Chennai,corporate,True,True
30,G000030,Nagpur,unknown,True,True
31,G000031,Kolkata,corporate,True,True
32,G000032,Coimbatore,corporate,True,True
33,G000033,Kolkata,relocation,True,True
34,G000034,Kochi,corporate,True,True
35,G000035,Delhi,relocation,True,True
36,G000036,Ahmedabad,leisure,True,True
37,G000037,Nagpur,corporate,True,True
38,G000038,Lucknow,relocation,True,True
39,G000039,Raipur,corporate,True,True
40,G000040,Coimbatore,leisure,True,True
41,G000041,Chennai,corporate,True,True
42,G000042,Pune,relocation,True,True
43,G000043,Indore,leisure,True,True
44,G000044,Kolkata,corporate,True,True
45,G000045,Coimbatore,corporate,True,True
46,G000046,Hyderabad,unknown,True,True
47,G000047,Kolkata,relocation,True,True
48,G000048,Lucknow,corporate,True,True
49,G000049,Kochi,leisure,True,True
50,G000050,Coimbatore,corporate,True,True
51,G000051,Lucknow,unknown,True,True
52,G000052,Kolkata,leisure,True,True
53,G000053,Pune,relocation,True,True
54,G000054,Pune,leisure,True,True
55,G000055,Raipur,leisure,True,True
56,G000056,Kochi,relocation,True,True
57,G000057,Chennai,corporate,False,True
58,G000058,Pune,corporate,True,True
59,G000059,Kochi,leisure,True,True
60,G000060,Kochi,leisure,True,True
61,G000061,Kochi,corporate,True,True
62,G000062,Pune,leisure,True,True
63,G000063,Nagpur,corporate,True,True
64,G000064,Kochi,corporate,True,True
65,G000065,Ahmedabad,corporate,True,True
66,G000066,Kochi,relocation,True,True
67,G000067,Nagpur,corporate,True,True
68,G000068,Hyderabad,corporate,True,True
69,G000069,Pune,leisure,True,True
70,G000070,Pune,corporate,True,True
71,G000071,Raipur,corporate,True,True
72,G000072,Ahmedabad,leisure,True,True
73,G000073,Nagpur,corporate,True,True
74,G000074,Mumbai,corporate,True,True
75,G000075,Nagpur,leisure,True,True
76,G000076,Raipur,corporate,True,True
77,G000077,Mumbai,relocation,True,True
78,G000078,Lucknow,corporate,True,True
79,G000079,Raipur,leisure,True,True
80,G000080,Delhi,corporate,True,True
81,G000081,Kolkata,corporate,True,True
82,G000082,Indore,leisure,True,True
83,G000083,Raipur,relocation,True,True
84,G000084,Indore,corporate,True,True
85,G000085,Chennai,corporate,True,True
86,G000086,Coimbatore,leisure,True,True
87,G000087,Pune,relocation,True,True
88,G000088,Indore,leisure,True,True
89,G000089,Indore,corporate,True,True
90,G000090,Ahmedabad,corporate,True,True
91,G000091,Delhi,leisure,True,True
92,G000092,Nagpur,leisure,True,True
93,G000093,Raipur,corporate,True,True
94,G000094,Coimbatore,corporate,True,True
95,G000095,Pune,relocation,True,True
96,G000096,Pune,corporate,True,True
97,G000097,Indore,corporate,True,True
98,G000098,Nagpur,corporate,True,False
99,G000099,Raipur,corporate,True,False
100,G000100,Jaipur,leisure,True,True
101,G000101,Jaipur,leisure,True,True
102,G000102,Kochi,leisure,True,True
103,G000103,Mumbai,relocation,True,True
104,G000104,Delhi,relocation,True,True
105,G000105,Ahmedabad,corporate,True,True
106,G000106,Hyderabad,unknown,True,True
107,G000107,Kolkata,relocation,True,True
108,G000108,Hyderabad,leisure,True,True
109,G000109,Pune,corporate,True,True
110,G000110,Kochi,leisure,True,True
111,G000111,Lucknow,corporate,True,True
112,G000112,Nagpur,unknown,True,True
113,G000113,Kochi,corporate,True,True
114,G000114,Pune,corporate,True,True
115,G000115,Kochi,corporate,True,True
116,G000116,Kochi,corporate,True,False
