unit_key,unit_code,property_key,unit_type,bedrooms,max_occupancy,sqft,floor,base_rate_inr,is_sellable
1,BLR-BTM-001,1,Studio,0,2,320,2,3599.00,True
2,BLR-BTM-002,1,Studio,0,2,320,3,3599.00,True
3,BLR-BTM-003,1,Studio,0,2,320,4,3599.00,True
4,BLR-BTM-004,1,Studio,0,2,320,5,3599.00,True
5,BLR-BTM-005,1,1BHK,1,3,450,1,4299.00,True
6,BLR-BTM-006,1,1BHK,1,3,450,2,4299.00,True
7,BLR-BTM-007,1,1BHK,1,3,450,3,4299.00,True
8,BLR-BTM-008,1,1BHK,1,3,450,4,4299.00,True
9,BLR-BTM-009,1,1BHK,1,3,450,5,4299.00,True
10,BLR-BTM-010,1,1BHK,1,3,450,1,4299.00,True
11,BLR-BTM-011,1,1BHK Large,1,4,530,2,5199.00,True
12,BLR-BTM-012,1,1BHK Large,1,4,530,3,5199.00,True
13,BLR-BTM-013,1,1BHK Large,1,4,530,4,5199.00,True
14,BLR-BTM-014,1,1BHK Large,1,4,530,5,5199.00,True
15,BLR-BTM-015,1,2BHK,2,5,780,1,6999.00,True
16,BLR-BTM-016,1,2BHK,2,5,780,2,6999.00,True
17,BLR-KOR-001,2,Studio,0,2,320,2,3599.00,True
18,BLR-KOR-002,2,Studio,0,2,320,3,3599.00,True
19,BLR-KOR-003,2,Studio,0,2,320,4,3599.00,True
20,BLR-KOR-004,2,1BHK,1,3,450,5,4299.00,True
21,BLR-KOR-005,2,1BHK,1,3,450,1,4299.00,True
22,BLR-KOR-006,2,1BHK,1,3,450,2,4299.00,True
23,BLR-KOR-007,2,1BHK,1,3,450,3,4299.00,True
24,BLR-KOR-008,2,1BHK,1,3,450,4,4299.00,True
25,BLR-KOR-009,2,1BHK Large,1,4,530,5,5199.00,True
26,BLR-KOR-010,2,1BHK Large,1,4,530,1,5199.00,True
27,BLR-KOR-011,2,1BHK Large,1,4,530,2,5199.00,True
28,BLR-KOR-012,2,2BHK,2,5,780,3,6999.00,True
29,BLR-KOR-013,2,2BHK,2,5,780,4,6999.00,True
30,BLR-KOR-014,2,2BHK Premium,2,6,860,5,7599.00,True
31,BLR-HSR-001,3,Studio,0,2,320,2,3599.00,True
32,BLR-HSR-002,3,Studio,0,2,320,3,3599.00,True
33,BLR-HSR-003,3,Studio,0,2,320,4,3599.00,True
34,BLR-HSR-004,3,1BHK,1,3,450,5,4299.00,True
35,BLR-HSR-005,3,1BHK,1,3,450,1,4299.00,True
36,BLR-HSR-006,3,1BHK,1,3,450,2,4299.00,True
37,BLR-HSR-007,3,1BHK,1,3,450,3,4299.00,True
38,BLR-HSR-008,3,1BHK Large,1,4,530,4,5199.00,True
39,BLR-HSR-009,3,1BHK Large,1,4,530,5,5199.00,True
40,BLR-HSR-010,3,1BHK Large,1,4,530,1,5199.00,True
