booking_key,booking_id,guest_key,property_key,channel_key,booking_date,check_in_date,check_out_date,cancel_date,stay_type,status,is_cancelled,nights,lead_time_days,net_room_amount_inr,discount_inr,commission_inr,nightly_rate_inr,has_business_date_drift
1,BK0000001,1717,1,7,2025-02-01,2025-02-01,2025-02-01,,microstay,checked_out,False,0,0,1722.69,90.67,206.72,1722.69,False
2,BK0000002,4074,1,5,2025-01-26,2025-02-01,2025-02-06,,nightly,checked_out,False,5,6,28475.30,1498.70,0.00,5695.06,False
3,BK0000003,7461,1,6,2025-01-30,2025-02-01,2025-02-02,2025-02-01,nightly,cancelled,True,1,2,3896.24,0.00,0.00,3896.24,False
4,BK0000004,7985,1,1,2025-01-28,2025-02-01,2025-02-03,,nightly,checked_out,False,2,4,9925.42,0.00,1985.08,4962.71,False
5,BK0000005,8781,1,6,2025-01-15,2025-02-01,2025-02-03,,nightly,checked_out,False,2,17,6468.28,0.00,0.00,3234.14,False
6,BK0000006,3750,1,3,2025-01-27,2025-02-01,2025-02-06,,nightly,checked_out,False,5,5,16815.85,0.00,3026.85,3363.17,False
7,BK0000007,6129,2,7,2025-02-01,2025-02-01,2025-02-01,,microstay,checked_out,False,0,0,1286.38,0.00,154.37,1286.38,False
8,BK0000008,6086,2,6,2025-01-26,2025-02-01,2025-02-06,,nightly,checked_out,False,5,6,22622.10,0.00,0.00,4524.42,False
9,BK0000009,6814,2,6,2025-01-29,2025-02-01,2025-02-03,,nightly,checked_out,False,2,3,5877.16,1037.14,0.00,2938.58,False
10,BK0000010,317,2,1,2025-01-09,2025-02-01,2025-02-03,2025-01-11,nightly,cancelled,True,2,23,7718.10,0.00,1543.62,3859.05,False
11,BK0000011,2347,1,6,2025-01-28,2025-02-02,2025-02-06,,nightly,checked_out,False,4,5,19770.92,0.00,0.00,4942.73,False
12,BK0000012,9299,1,1,2025-01-12,2025-02-02,2025-02-03,2025-01-24,nightly,cancelled,True,1,21,3940.23,0.00,788.05,3940.23,False
13,BK0000013,8050,1,1,2025-01-19,2025-02-02,2025-02-03,,nightly,checked_out,False,1,14,3329.19,587.50,665.84,3329.19,False
14,BK0000014,9131,1,1,2025-01-31,2025-02-02,2025-02-04,,nightly,checked_out,False,2,2,8663.34,455.96,1732.67,4331.67,False
15,BK0000015,2603,1,1,2025-01-20,2025-02-02,2025-02-04,,nightly,checked_out,False,2,13,7797.50,0.00,1559.50,3898.75,False
16,BK0000016,3937,1,1,2025-01-27,2025-02-02,2025-02-05,,nightly,checked_out,False,3,6,8723.55,0.00,1744.71,2907.85,False
17,BK0000017,942,2,5,2025-01-23,2025-02-02,2025-02-05,,nightly,checked_out,False,3,10,19580.13,0.00,0.00,6526.71,False
