property_key,property_code,stay_date,date_key,year_month,day_name,is_weekend,rooms_available,rooms_out_of_order,unit_nights_physical,rooms_sold,rooms_sold_microstay,room_revenue_net_inr,gst_inr,room_revenue_gross_inr,commission_inr,net_after_commission_inr,occupancy_pct,occupancy_pct_benchmark,occupancy_ooo_gap_pp,adr_inr,adr_excl_microstay_inr,revpar_inr
2,BLR-KOR,2025-08-05,20250805,2025-08,Tuesday,False,14,0,14,12,0,57217.59,6866.11,64083.70,3507.13,53710.46,85.71,85.71,0.00,4768.13,4768.13,4086.97
2,BLR-KOR,2025-07-27,20250727,2025-07,Sunday,True,14,0,14,9,0,43023.12,5613.96,48637.08,3961.38,39061.74,64.29,64.29,0.00,4780.35,4780.35,3073.08
1,BLR-BTM,2025-09-21,20250921,2025-09,Sunday,True,16,0,16,8,0,33595.24,4031.42,37626.66,1761.99,31833.25,50.00,50.00,0.00,4199.41,4199.41,2099.70
1,BLR-BTM,2025-07-20,20250720,2025-07,Sunday,True,15,1,16,9,0,38148.06,4577.78,42725.84,1450.82,36697.24,60.00,56.25,3.75,4238.67,4238.67,2543.20
1,BLR-BTM,2026-03-09,20260309,2026-03,Monday,False,16,0,16,15,0,66617.92,3330.88,69948.80,5841.16,60776.76,93.75,93.75,0.00,4441.19,4441.19,4163.62
2,BLR-KOR,2025-09-10,20250910,2025-09,Wednesday,False,14,0,14,11,1,51367.12,6164.07,57531.19,3793.67,47573.45,78.57,78.57,0.00,4669.74,4991.34,3669.08
1,BLR-BTM,2025-10-27,20251027,2025-10,Monday,False,16,0,16,11,0,41832.09,2091.59,43923.68,1884.58,39947.51,68.75,68.75,0.00,3802.92,3802.92,2614.51
1,BLR-BTM,2025-06-18,20250618,2025-06,Wednesday,False,15,1,16,11,1,43907.41,5268.89,49176.30,3853.23,40054.18,73.33,68.75,4.58,3991.58,4203.64,2927.16
2,BLR-KOR,2025-06-11,20250611,2025-06,Wednesday,False,13,1,14,11,0,49541.86,5945.02,55486.88,2140.40,47401.46,84.62,78.57,6.04,4503.81,4503.81,3810.91
1,BLR-BTM,2025-02-04,20250204,2025-02,Tuesday,False,16,0,16,10,0,45379.70,5445.56,50825.26,2947.71,42431.99,62.50,62.50,0.00,4537.97,4537.97,2836.23
1,BLR-BTM,2026-03-10,20260310,2026-03,Tuesday,False,16,0,16,13,1,56514.33,2825.71,59340.04,5188.39,51325.94,81.25,81.25,0.00,4347.26,4620.94,3532.15
