payment_key,payment_id,booking_key,payment_date,settlement_date,method,gross_amount_inr,gateway_fee_inr,gst_on_fee_inr,net_credited_inr,status,is_orphan_reference
1,PAY0000001,1.0,2025-02-01,2025-02-08,netbanking,1722.69,34.45,6.20,1682.04,settled,False
2,PAY0000002,2.0,2025-01-26,2025-01-28,card,28475.30,569.51,102.51,27803.28,settled,False
3,PAY0000003,4.0,2025-01-28,2025-02-12,ota_collect,9925.42,198.51,35.73,9691.18,settled,False
4,PAY0000004,5.0,2025-01-15,2025-02-14,cash,6468.28,0.00,0.00,6468.28,settled,False
5,PAY0000005,6.0,2025-01-27,2025-02-26,ota_collect,16815.85,336.32,60.54,16418.99,settled,False
6,PAY0000006,7.0,2025-02-01,2025-02-08,ota_collect,1286.38,25.73,4.63,1256.02,settled,False
7,PAY0000007,8.0,2025-01-26,2025-02-25,upi,22622.10,452.44,81.44,22088.22,settled,False
8,PAY0000008,9.0,2025-01-29,2025-02-28,card,5877.16,117.54,21.16,5738.46,settled,False
9,PAY0000009,11.0,2025-01-28,2025-02-27,card,19770.92,395.42,71.18,19304.32,settled,False
10,PAY0000010,13.0,2025-01-19,2025-02-03,upi,3329.19,66.58,11.98,3250.63,settled,False
11,PAY0000011,14.0,2025-01-31,2025-02-15,upi,8663.34,173.27,31.19,8458.88,settled,False
12,PAY0000012,15.0,2025-01-20,2025-02-04,ota_collect,7797.50,155.95,28.07,7613.48,settled,False
13,PAY0000013,16.0,2025-01-27,2025-02-11,ota_collect,8723.55,174.47,31.40,8517.68,settled,False
14,PAY0000014,17.0,2025-01-23,2025-01-25,card,19580.13,391.60,70.49,19118.04,settled,False
15,PAY0000015,18.0,2025-01-20,2025-01-29,ota_collect,4110.48,82.21,14.80,4013.47,settled,False
16,PAY0000016,19.0,2025-01-31,2025-02-09,card,5034.52,100.69,18.12,4915.71,settled,False
17,PAY0000017,20.0,2025-01-31,2025-02-15,card,5306.16,106.12,19.10,5180.94,settled,False
18,PAY0000018,21.0,2025-01-30,2025-02-01,upi,8531.02,170.62,30.71,8329.69,settled,False
19,PAY0000019,22.0,2025-02-01,2025-03-03,upi,66909.56,1338.19,240.87,65330.50,settled,False
20,PAY0000020,23.0,2025-01-21,2025-02-20,upi,31033.20,620.66,111.72,30300.82,settled,False
21,PAY0000021,25.0,2025-01-19,2025-01-21,ota_collect,4475.02,89.50,16.11,4369.41,settled,False
22,PAY0000022,26.0,2025-01-26,2025-02-10,upi,9117.68,182.35,32.82,8902.51,settled,False
23,PAY0000023,27.0,2025-01-16,2025-01-31,upi,19869.63,397.39,71.53,19400.71,settled,False
24,PAY0000024,28.0,2025-02-01,2025-03-03,upi,7262.32,145.25,26.14,7090.93,settled,False
25,PAY0000025,29.0,2025-02-02,2025-02-09,ota_collect,1009.94,20.20,3.64,986.10,settled,False
26,PAY0000026,30.0,2025-01-25,2025-01-26,upi,29868.30,597.37,107.53,29163.40,settled,False
27,PAY0000027,31.0,2025-01-27,2025-02-11,upi,4449.05,88.98,16.02,4344.05,settled,False
28,PAY0000028,32.0,2025-02-02,2025-02-17,upi,8709.54,174.19,31.35,8504.00,settled,False
29,PAY0000029,34.0,2025-02-03,2025-02-03,ota_collect,18186.72,363.73,65.47,17757.52,settled,False
30,PAY0000030,35.0,2025-01-26,2025-02-25,upi,71376.80,1427.54,256.96,69692.30,settled,False
31,PAY0000031,36.0,2025-01-20,2025-01-21,ota_collect,17549.80,351.00,63.18,17135.62,settled,False
32,PAY0000032,38.0,2025-01-31,2025-02-15,upi,13683.50,273.67,49.26,13360.57,settled,False
33,PAY0000033,40.0,2025-02-03,2025-02-10,upi,2145.78,42.92,7.73,2095.13,settled,False
34,PAY0000034,41.0,2025-01-31,2025-02-02,upi,4178.72,83.57,15.04,4080.11,settled,False
35,PAY0000035,42.0,2025-01-28,2025-02-27,ota_collect,85336.79,1706.74,307.21,83322.84,settled,False
36,PAY0000036,43.0,2025-02-02,2025-02-17,card,12458.41,249.17,44.85,12164.39,settled,False
37,PAY0000037,44.0,2025-02-01,2025-02-03,cash,12552.57,0.00,0.00,12552.57,settled,False
38,PAY0000038,45.0,2025-02-02,2025-02-11,ota_collect,4461.84,89.24,16.06,4356.54,settled,False
