request_key,request_id,property_key,request_type_key,category,subcategory,owning_team,request_date,resolved_date,created_hour_ist,day_part_ist,priority,status,channel,sla_minutes,resolution_minutes,first_response_minutes,is_sla_breached,reopened_count,csat_score
1,SR0000001,1,10,Billing,Incorrect folio,front_office,2025-02-06,2025-02-07,23,evening,P2,closed,whatsapp,240,180,66.0,False,0,4.0
2,SR0000002,1,7,Maintenance,Plumbing,maintenance,2025-02-15,2025-02-15,14,afternoon,P2,closed,whatsapp,180,207,49.0,True,0,
3,SR0000003,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-02-20,2025-02-20,12,afternoon,P3,closed,email,45,21,2.0,False,0,5.0
4,SR0000004,1,3,Housekeeping,Late checkout clean,housekeeping,2025-03-20,2025-03-20,10,morning,P2,closed,whatsapp,90,31,9.0,False,0,
5,SR0000005,1,3,Housekeeping,Late checkout clean,housekeeping,2025-03-22,2025-03-22,12,afternoon,P2,closed,whatsapp,90,19,3.0,False,0,
6,SR0000006,1,7,Maintenance,Plumbing,maintenance,2025-03-29,2025-03-29,13,afternoon,P2,closed,whatsapp,180,162,14.0,False,0,
7,SR0000007,1,6,Maintenance,Wi-Fi down,maintenance,2025-04-20,2025-04-20,13,afternoon,P1,closed,whatsapp,60,20,6.0,False,0,
8,SR0000008,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-05-12,2025-05-12,17,afternoon,P3,closed,whatsapp,45,55,15.0,True,0,3.0
9,SR0000009,1,9,Front Desk,Key/access issue,front_office,2025-05-14,2025-05-14,23,evening,P1,closed,whatsapp,30,7,2.0,False,0,
10,SR0000010,1,10,Billing,Incorrect folio,front_office,2025-05-15,2025-05-15,14,afternoon,P2,closed,whatsapp,240,240,53.0,False,0,
11,SR0000011,1,7,Maintenance,Plumbing,maintenance,2025-05-24,2025-05-24,14,afternoon,P2,closed,phone,180,23,6.0,False,0,
12,SR0000012,1,9,Front Desk,Key/access issue,front_office,2025-06-01,2025-06-01,16,afternoon,P1,closed,whatsapp,30,10,2.0,False,0,5.0
13,SR0000013,1,1,Housekeeping,Room not cleaned,housekeeping,2025-06-16,2025-06-16,14,afternoon,P2,closed,whatsapp,60,51,18.0,False,0,
14,SR0000014,1,8,Front Desk,Late check-in,front_office,2025-06-18,2025-06-18,20,evening,P2,closed,whatsapp,30,8,1.0,False,0,3.0
15,SR0000015,1,3,Housekeeping,Late checkout clean,housekeeping,2025-07-18,2025-07-18,18,evening,P2,closed,whatsapp,90,83,10.0,False,0,
16,SR0000016,1,5,Maintenance,Hot water,maintenance,2025-07-19,2025-07-19,11,morning,P1,closed,email,90,149,39.0,True,0,
17,SR0000017,1,8,Front Desk,Late check-in,front_office,2025-07-23,2025-07-23,14,afternoon,P2,closed,whatsapp,30,16,2.0,False,0,4.0
18,SR0000018,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-08-01,2025-08-01,13,afternoon,P3,closed,whatsapp,45,20,6.0,False,0,
19,SR0000019,1,4,Maintenance,AC not cooling,maintenance,2025-08-11,2025-08-11,16,afternoon,P1,closed,whatsapp,120,39,3.0,False,0,5.0
20,SR0000020,1,3,Housekeeping,Late checkout clean,housekeeping,2025-08-12,2025-08-12,11,morning,P2,closed,front_desk,90,26,2.0,False,0,
21,SR0000021,1,3,Housekeeping,Late checkout clean,housekeeping,2025-08-30,2025-08-30,5,overnight,P2,closed,whatsapp,90,71,11.0,False,0,
22,SR0000022,1,7,Maintenance,Plumbing,maintenance,2025-09-02,2025-09-02,12,afternoon,P2,closed,whatsapp,180,38,3.0,False,0,5.0
23,SR0000023,1,5,Maintenance,Hot water,maintenance,2025-09-16,2025-09-16,20,evening,P1,closed,app,90,95,9.0,True,0,
24,SR0000024,1,6,Maintenance,Wi-Fi down,maintenance,2025-09-18,2025-09-18,19,evening,P1,closed,phone,60,77,10.0,True,0,
25,SR0000025,1,9,Front Desk,Key/access issue,front_office,2025-09-20,2025-09-20,17,afternoon,P1,closed,whatsapp,30,18,3.0,False,0,
26,SR0000026,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-10-01,2025-10-01,14,afternoon,P3,closed,front_desk,45,4,1.0,False,0,5.0
27,SR0000027,1,7,Maintenance,Plumbing,maintenance,2025-10-02,2025-10-02,13,afternoon,P2,closed,whatsapp,180,223,72.0,True,0,
28,SR0000028,1,9,Front Desk,Key/access issue,front_office,2025-10-08,2025-10-08,13,afternoon,P1,closed,phone,30,27,6.0,False,0,
29,SR0000029,1,2,Housekeeping,Extra towels/linen,housekeeping,2025-10-12,2025-10-12,19,evening,P3,closed,whatsapp,45,56,10.0,True,0,3.0
30,SR0000030,1,10,Billing,Incorrect folio,front_office,2025-10-27,2025-10-27,9,morning,P2,closed,app,240,12,3.0,False,0,
31,SR0000031,1,4,Maintenance,AC not cooling,maintenance,2025-11-01,2025-11-02,21,evening,P1,closed,whatsapp,120,195,77.0,True,0,
32,SR0000032,1,6,Maintenance,Wi-Fi down,maintenance,2025-11-02,2025-11-02,18,evening,P1,closed,phone,60,32,11.0,False,0,
33,SR0000033,1,1,Housekeeping,Room not cleaned,housekeeping,2025-11-12,2025-11-12,14,afternoon,P2,closed,phone,60,20,3.0,False,0,
34,SR0000034,1,7,Maintenance,Plumbing,maintenance,2025-11-15,2025-11-15,16,afternoon,P2,closed,phone,180,91,30.0,False,0,
35,SR0000036,1,9,Front Desk,Key/access issue,front_office,2025-11-29,2025-11-29,13,afternoon,P1,closed,front_desk,30,12,3.0,False,0,3.0
36,SR0000037,1,5,Maintenance,Hot water,maintenance,2025-12-05,2025-12-05,13,afternoon,P1,closed,app,90,59,12.0,False,0,5.0
37,SR0000038,1,3,Housekeeping,Late checkout clean,housekeeping,2025-12-17,2025-12-17,20,evening,P2,closed,app,90,4,1.0,False,0,
38,SR0000039,1,5,Maintenance,Hot water,maintenance,2025-12-23,2025-12-23,10,morning,P1,closed,phone,90,104,19.0,True,1,
39,SR0000040,1,6,Maintenance,Wi-Fi down,maintenance,2025-12-24,2025-12-24,5,overnight,P1,closed,whatsapp,60,52,9.0,False,1,5.0
40,SR0000041,1,3,Housekeeping,Late checkout clean,housekeeping,2026-01-25,2026-01-25,11,morning,P2,closed,whatsapp,90,156,39.0,True,0,
41,SR0000042,1,5,Maintenance,Hot water,maintenance,2026-01-29,2026-01-29,19,evening,P1,closed,whatsapp,90,34,3.0,False,0,4.0
42,SR0000043,1,9,Front Desk,Key/access issue,front_office,2026-02-04,2026-02-04,13,afternoon,P1,closed,whatsapp,30,16,5.0,False,0,
43,SR0000044,1,8,Front Desk,Late check-in,front_office,2026-02-11,2026-02-11,16,afternoon,P2,closed,front_desk,30,27,7.0,False,0,
44,SR0000045,1,9,Front Desk,Key/access issue,front_office,2026-02-24,2026-02-24,18,evening,P1,closed,whatsapp,30,40,9.0,True,0,
45,SR0000046,1,3,Housekeeping,Late checkout clean,housekeeping,2026-02-25,2026-02-25,10,morning,P2,closed,phone,90,125,49.0,True,0,
46,SR0000047,1,1,Housekeeping,Room not cleaned,housekeeping,2026-03-01,2026-03-01,14,afternoon,P2,closed,phone,60,40,15.0,False,0,
47,SR0000048,1,10,Billing,Incorrect folio,front_office,2026-03-08,2026-03-08,20,evening,P2,closed,whatsapp,240,38,5.0,False,0,
48,SR0000049,1,1,Housekeeping,Room not cleaned,housekeeping,2026-03-11,2026-03-11,8,morning,P2,closed,whatsapp,60,15,1.0,False,0,5.0
49,SR0000050,1,4,Maintenance,AC not cooling,maintenance,2026-03-20,2026-03-20,14,afternoon,P1,closed,app,120,265,27.0,True,1,
50,SR0000051,1,10,Billing,Incorrect folio,front_office,2026-04-02,2026-04-02,14,afternoon,P2,closed,whatsapp,240,35,7.0,False,1,
51,SR0000052,1,6,Maintenance,Wi-Fi down,maintenance,2026-04-06,2026-04-06,6,morning,P1,closed,app,60,11,2.0,False,0,
52,SR0000053,1,10,Billing,Incorrect folio,front_office,2026-04-08,2026-04-08,12,afternoon,P2,closed,app,240,337,35.0,True,0,4.0
