property_code,year_month,rooms_available,rooms_sold,room_revenue_net_inr,rooms_out_of_order,occupancy_pct,adr_inr,revpar_inr
BLR-BTM,2025-02,436,336,1444810.14,12,77.06,4300.03,3313.78
BLR-BTM,2025-03,484,393,1678104.99,12,81.2,4269.99,3467.16
BLR-BTM,2025-04,478,386,1654118.62,2,80.75,4285.28,3460.50
BLR-BTM,2025-05,487,287,1226346.22,9,58.93,4272.98,2518.16
BLR-BTM,2025-06,468,315,1330437.03,12,67.31,4223.61,2842.81
BLR-BTM,2025-07,489,374,1583373.01,7,76.48,4233.62,3237.98
BLR-BTM,2025-08,488,362,1565195.46,8,74.18,4323.74,3207.37
BLR-BTM,2025-09,470,378,1655633.06,10,80.43,4379.98,3522.62
BLR-BTM,2025-10,486,369,1562207.93,10,75.93,4233.63,3214.42
BLR-BTM,2025-11,470,377,1639855.13,10,80.21,4349.75,3489.05
BLR-BTM,2025-12,483,345,1450100.82,13,71.43,4203.19,3002.28
BLR-BTM,2026-01,487,430,1847697.61,9,88.3,4296.97,3794.04
BLR-BTM,2026-02,440,342,1547184.68,8,77.73,4523.93,3516.33
BLR-BTM,2026-03,485,376,1634598.89,11,77.53,4347.34,3370.31
BLR-BTM,2026-04,472,402,1693154.12,8,85.17,4211.83,3587.19
BLR-BTM,2026-05,488,374,1608321.45,8,76.64,4300.32,3295.74
BLR-BTM,2026-06,470,398,1757565.04,10,84.68,4415.99,3739.50
BLR-BTM,2026-07,490,401,1774983.73,6,81.84,4426.39,3622.42
BLR-BTM,2026-08,173,149,670507.84,3,86.13,4500.05,3875.77
BLR-HSR,2026-03,296,99,341858.15,14,33.45,3453.11,1154.93
BLR-HSR,2026-04,288,135,469131.51,12,46.88,3475.05,1628.93
BLR-HSR,2026-05,300,139,493517.97,10,46.33,3550.49,1645.06
BLR-HSR,2026-06,293,172,643864.71,7,58.7,3743.40,2197.49
BLR-HSR,2026-07,295,197,740884.75,15,66.78,3760.84,2511.47
BLR-HSR,2026-08,107,76,288282.26,3,71.03,3793.19,2694.23
BLR-KOR,2025-02,387,253,1141561.32,5,65.37,4512.10,2949.77
BLR-KOR,2025-03,423,295,1333997.67,11,69.74,4522.03,3153.66
BLR-KOR,2025-04,410,315,1473362.56,10,76.83,4677.34,3593.57
BLR-KOR,2025-05,427,326,1459441.30,7,76.35,4476.81,3417.90
BLR-KOR,2025-06,409,290,1323590.17,11,70.9,4564.10,3236.16
BLR-KOR,2025-07,422,284,1345128.44,12,67.3,4736.37,3187.51
BLR-KOR,2025-08,423,327,1551741.74,11,77.3,4745.39,3668.42
BLR-KOR,2025-09,412,295,1385302.61,8,71.6,4695.94,3362.38
BLR-KOR,2025-10,425,335,1559963.13,9,78.82,4656.61,3670.50
BLR-KOR,2025-11,410,300,1405293.98,10,73.17,4684.31,3427.55
BLR-KOR,2025-12,420,334,1507878.92,14,79.52,4514.61,3590.19
BLR-KOR,2026-01,423,346,1585755.82,11,81.8,4583.11,3748.83
BLR-KOR,2026-02,388,312,1471969.21,4,80.41,4717.85,3793.74
BLR-KOR,2026-03,425,354,1637279.00,9,83.29,4625.08,3852.42
BLR-KOR,2026-04,408,379,1769545.63,12,92.89,4668.99,4337.12
BLR-KOR,2026-05,425,345,1591567.28,9,81.18,4613.24,3744.86
BLR-KOR,2026-06,412,387,1792041.00,8,93.93,4630.60,4349.61
BLR-KOR,2026-07,427,383,1773598.02,7,89.7,4630.80,4153.63
BLR-KOR,2026-08,150,138,671139.77,4,92.0,4863.33,4474.27
