property_key,category,day_part_ist,requests,breaches,avg_tat_min,avg_csat,breach_pct
1,Billing,afternoon,46,5,150.2,4.6,10.9
1,Billing,evening,29,5,118.1,3.8,17.2
1,Billing,morning,26,8,173.9,4.0,30.8
1,Billing,overnight,4,1,158.0,4.5,25.0
1,Front Desk,afternoon,80,11,18.6,4.09,13.8
1,Front Desk,evening,52,11,18.6,4.22,21.2
1,Front Desk,morning,33,5,17.5,4.0,15.2
1,Front Desk,overnight,8,1,18.0,3.75,12.5
1,Housekeeping,afternoon,118,19,42.1,4.36,16.1
1,Housekeeping,evening,74,14,43.2,4.15,18.9
1,Housekeeping,morning,72,18,49.4,4.29,25.0
1,Housekeeping,overnight,12,2,37.2,4.0,16.7
1,Maintenance,afternoon,156,28,72.2,4.25,17.9
1,Maintenance,evening,106,17,67.0,4.26,16.0
1,Maintenance,morning,82,14,68.4,4.31,17.1
1,Maintenance,overnight,15,0,54.4,4.6,0.0
2,Billing,afternoon,47,7,146.4,4.17,14.9
2,Billing,evening,28,10,183.8,4.11,35.7
2,Billing,morning,26,4,152.2,3.83,15.4
2,Billing,overnight,4,1,154.5,,25.0
2,Front Desk,afternoon,80,21,21.6,3.83,26.2
2,Front Desk,evening,58,8,17.7,4.2,13.8
2,Front Desk,morning,47,5,16.1,3.76,10.6
2,Front Desk,overnight,6,1,16.7,4.0,16.7
2,Housekeeping,afternoon,110,12,37.2,4.32,10.9
2,Housekeeping,evening,55,19,61.3,3.89,34.5
2,Housekeeping,morning,65,10,39.6,4.11,15.4
2,Housekeeping,overnight,15,2,32.3,4.0,13.3
2,Maintenance,afternoon,130,27,79.1,4.27,20.8
2,Maintenance,evening,72,11,67.5,4.35,15.3
2,Maintenance,morning,103,18,74.7,4.21,17.5
2,Maintenance,overnight,10,2,57.0,4.0,20.0
3,Billing,afternoon,6,1,132.0,4.0,16.7
3,Billing,evening,1,0,166.0,5.0,0.0
3,Billing,morning,1,0,104.0,,0.0
3,Front Desk,afternoon,10,1,17.0,4.0,10.0
3,Front Desk,evening,4,0,17.0,4.0,0.0
3,Front Desk,morning,7,0,13.6,4.0,0.0
3,Front Desk,overnight,2,0,22.5,,0.0
3,Housekeeping,afternoon,21,6,39.5,4.0,28.6
3,Housekeeping,evening,9,1,33.6,4.25,11.1
3,Housekeeping,morning,9,0,39.1,5.0,0.0
3,Maintenance,afternoon,23,2,53.3,4.33,8.7
3,Maintenance,evening,22,2,51.8,4.5,9.1
3,Maintenance,morning,14,2,77.4,4.0,14.3
3,Maintenance,overnight,2,0,34.5,4.0,0.0
